Course Code,Course name,Description
19ENG111,Technical Communication,"The core objectives are to imbue students with a deep understanding of writing mechanics, formal documentation, critical thinking, information retrieval, and idea organization, while also honing their technical presentation skills. These skills collectively empower students to excel in written communication, fostering their ability to think critically, analyze effectively, and present information proficiently."
19MAT101,Single Variable Calculus,"This educational module aims to equip learners with a comprehensive understanding of functions and their graphical representations. It delves into the fundamental concept of continuous functions, emphasizing the identification of extreme values within these functions. Furthermore, the module explores the concept of definite integrals and imparts knowledge on various integration techniques, fostering a well-rounded grasp of calculus and mathematical analysis."
19MAT102,Matrix Algebra,"This educational module focuses on building a solid comprehension of fundamental concepts in eigenvalues and eigenvectors. It then advances to practical applications, including their use in diagonalization and quadratic forms. Additionally, the module covers the application of diverse iterative techniques for effectively solving systems of equations, providing students with essential tools for linear algebra and numerical analysis."
19MAT111,Multivariable Calculus,"This module seeks to accomplish several key objectives. It begins by teaching students the art of curve parameterization, enabling them to calculate arc lengths accurately. Next, it familiarizes them with the intricacies of calculus in multiple variables, expanding their mathematical toolkit. Lastly, the module equips learners with the practical application of vital theorems in vector calculus, empowering them to tackle real-world problems effectively. In essence, it cultivates a deep understanding of advanced calculus principles and their real-world utility."
19CSE100,Problem Solving and Algorithmic Thinking,"This course serves as the bedrock for computational problem-solving skills, offering a strong foundational understanding. Its primary emphasis is on fundamental principles and techniques, equipping students with versatile problem-solving abilities applicable across various domains. Moreover, it lays the groundwork for individuals to cultivate computational perspectives within their specific disciplines, fostering a holistic approach to knowledge and expertise."
19CSE101,Computer System Essentials,"This course offers students a broad introduction to the field of computer science, establishing a foundational understanding that enables them to grasp the significance and connections to subsequent courses in the discipline. It also provides valuable insights into the fundamental structures of operating systems, database management systems, and computer networks, facilitating a comprehensive comprehension of these critical components of computing technology."
19MEE100,Engineering Graphics - CAD,"This course aims to acquaint students with the standards set by the Bureau of Indian Standards (BIS) for creating engineering drawings. It focuses on imparting skills in accurate dimensioning and constructing basic geometries. Additionally, the course instills the knowledge and proficiency to create orthographic projections and isometric views through the utilization of CAD drafting software, fostering a comprehensive understanding of engineering design principles and practices."
19CSE180,Computer Hardare Essentials,"The ""Computer Hardware Essentials"" course is crafted to provide students with fundamental knowledge of various computing devices, computer components like CPU, memory, and power supplies, and operating systems. It equips them with skills to maintain and troubleshoot common hardware and software problems. Furthermore, the course offers a practical dimension by guiding students through the process of assembling a fully operational Linux-based computer using Raspberry Pi and other necessary components, enhancing their hands-on experience in hardware construction and configuration."
19CUL101,Cultural Education - 1,"This course aims to serve as an introductory exploration into the rich tapestry of Indian cultural and intellectual heritage. It provides students with a holistic perspective on India's remarkable accomplishments across various domains. Through this course, students will acquire a solid understanding of their country's heritage and the underlying principles of Indian culture, fostering the assimilation of significant cultural values."
19MAT115,Discrete Mathematics,"This course encompasses several key objectives. It aims to acquaint students with fundamental concepts in logic and proof techniques, fostering their ability to think critically and analytically. Additionally, it delves into the realm of relations, covering partial ordering and equivalence relations. The course also equips students with the knowledge of generating functions and their application in solving recurrence relations. Lastly, it provides a foundation in basic number theory results and explores their practical applications in the realm of information security, enhancing students' mathematical and computational skills."
19MAT12,Linear Algebra,"This course has three core objectives. First, it aims to provide students with a firm grasp of fundamental concepts such as vector spaces, subspaces, basis, and dimension, forming the building blocks of linear algebra. Second, it acquaints students with inner product spaces and enables them to find orthogonal vectors using inner products, an essential skill in various applications. Finally, the course focuses on linear transformations and their application in different matrix decompositions, enhancing students' proficiency in linear algebra and its practical use."
